z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,rad_um,neighbors,contacts_50nm,contacts_30nm,contacts_100nm
13.0920905018,58.9367452564,96.9097150524,7.54745888866,2.0,12.3075338117,7.48496664756,1.57105086022,2.0,0.0119346524,0.08440393407,0.01978011672,0.0875083597827,0.0579398388898,0.0757479554695,0.0459356787016,0.105853031445,0.104270331516,0.0973962561182,0.95852727886,"[16, 18]",2.0,1.0,2.0
13.2569248078,59.6013431625,97.0036886937,7.52327109838,3.0,12.3194684641,7.56937058163,1.59083097694,2.0,,,,,,,,,,,0.955455429494,"[16, 18]",1.0,1.0,2.0
8.81752778215,31.9253390235,27.1953125357,9.34927150176,0.0,3.45380469203,4.05451805599,1.05810333386,3.0,0.06422882417,0.00671588142,0.25824325911,0.266195465388,0.0683064756374,0.00222303395315,0.294686606968,0.302507707043,0.267208642362,0.267133482307,1.18735748072,"[14, 35, 173, 189]",2.0,2.0,4.0
10.9695549414,31.9782199796,27.7010513086,9.34917356299,1.0,3.5180335162,4.06123393741,1.31634659297,3.0,-0.02365723451,0.13448468039,-0.06413245384,0.150860086305,-0.0122819634937,0.141158598705,-0.0545553278332,0.151831750337,0.149498988366,0.155529959336,1.1873450425,"[14, 35, 173, 189]",2.0,2.0,4.0
10.4351178261,33.0371544708,27.5147738716,9.3813210971,2.0,3.49437628169,4.1957186178,1.25221413913,3.0,-0.11618596723,0.02560795836,-0.04838501212,0.128436972521,-0.0701807807402,0.0169519797595,-0.0222294501384,0.0755437625257,0.089006847571,0.0869127205933,1.19142777933,"[14, 35, 173]",2.0,2.0,3.0
10.0319093917,33.2387919383,26.5999237359,9.27095825846,3.0,3.37819031446,4.22132657616,1.20382912701,3.0,,,,,,,,,,,1.17741169882,"[14, 35, 173]",2.0,2.0,3.0
10.4336837717,87.8411895185,81.3226994738,7.46683379224,0.0,10.3279828332,11.1558310688,1.2520420526,4.0,-0.0191288989,0.0607415231,-0.08159708494,0.103506191469,-0.0150512474326,0.0562486756332,-0.0451537370822,0.0736838756598,0.102830719868,0.100242395375,0.948287891614,[233],1.0,1.0,1.0
9.75370806386,88.3194692277,81.1720782229,7.46622525745,1.0,10.3088539343,11.2165725919,1.17044496766,4.0,-0.0500072688,-0.0141837799,0.06638282527,0.0843124310877,-0.0386319977837,-0.00750986158523,0.0759599512768,0.0855496550066,0.0781043555497,0.0771719428589,0.948210607696,[233],1.0,1.0,1.0
10.3068982744,88.2077859213,80.7783202008,7.42029388367,2.0,10.2588466655,11.202388812,1.23682779293,4.0,-0.0298812265,0.0034224259,0.06291576468,0.0697351714808,0.0161239599898,-0.00523355270049,0.0890713266616,0.090670135066,0.0650391307603,0.0651595396307,0.942377323226,[233],1.0,1.0,1.0
10.8311963134,88.2347341568,80.5430349527,7.44336523781,3.0,10.228965439,11.2058112379,1.29974355761,4.0,,,,,,,,,,,0.945307385202,[233],1.0,1.0,1.0
16.3465707862,14.4597950336,79.0394776868,7.34070612631,0.0,10.0380136662,1.83639396927,1.96158849434,5.0,-0.0333437303,-0.07055636674,-0.20727156523,0.221475748087,-0.0292660788326,-0.0750492142068,-0.170828217372,0.188868122704,0.220898632885,0.222374435752,0.932269678041,"[37, 46, 161, 166]",3.0,3.0,4.0
14.6193077426,13.9042330908,78.7769286291,7.37122991962,1.0,10.0046699359,1.76583760253,1.75431692911,5.0,0.0116996827,-0.02432591204,0.01194270765,0.029517127873,0.0230749537163,-0.0176519937252,0.0215198336568,0.036154524089,0.0355925800077,0.0314113775168,0.936146199792,"[46, 161, 166]",3.0,3.0,3.0
14.7188303063,13.7126904763,78.869052115,7.34990588025,2.0,10.0163696186,1.74151169049,1.76625963676,5.0,-0.12610693529,-0.07961482021,0.00775217349,0.149337118357,-0.0801017488002,-0.0882707988105,0.0339077354716,0.123926424173,0.113202941445,0.11944923724,0.933438046792,"[46, 161, 166]",3.0,3.0,3.0
14.7834317521,13.0858021282,77.8760841206,7.35001278835,3.0,9.89026268331,1.66189687028,1.77401181025,5.0,,,,,,,,,,,0.93345162412,"[46, 161, 166]",3.0,3.0,3.0
20.758942936,115.126161268,3.5922579614,7.56735855936,0.0,0.456216761098,14.621022481,2.49107315232,6.0,-0.051881907256,0.0476924681,-0.00928661261,0.0710812562337,-0.0478042557886,0.0431996206332,0.0271567352478,0.0699209722735,0.0681620096442,0.0650975826596,0.961054537039,"[225, 236]",2.0,2.0,2.0
20.6815544976,115.501692513,3.18373900663,7.49186382076,1.0,0.404334853842,14.6687149491,2.48178653971,6.0,-0.079709172235,-0.0189049514,-0.00053862435,0.0819221547691,-0.0683339012187,-0.0122310330852,0.00903850165677,0.0700058193173,0.0709028163008,0.0694219730509,0.951466705237,"[32, 225, 236]",2.0,2.0,3.0
20.6770659614,115.352834628,2.55610772919,7.52501929064,2.0,0.324625681607,14.6498099977,2.48124791536,6.0,0.017147964057,-0.0684381439,-0.02000346633,0.0733346499071,0.0631531505468,-0.0770941225005,0.00615209565163,0.0998482470002,0.0952482998781,0.101646263155,0.955677449911,"[32, 225, 236]",2.0,2.0,3.0
20.5103704086,114.813951605,2.69113106822,7.58137506525,3.0,0.341773645664,14.5813718538,2.46124444903,6.0,,,,,,,,,,,0.962834633287,"[225, 236]",2.0,2.0,2.0
10.7461508029,69.8864183298,34.2121750232,7.47248309091,0.0,4.34494622795,8.87557512788,1.28953809634,7.0,0.00327825645,0.02112349328,-0.05734911226,0.0612035097908,0.00735590791737,0.0166306458132,-0.0209057644022,0.0277080989368,0.0615567382717,0.0601631817515,0.949005352546,"[49, 52, 75]",3.0,3.0,3.0
10.268241534,70.0527450485,34.2379880661,7.51299254188,1.0,4.3482244844,8.89669862116,1.23218898408,7.0,-0.03843906437,-0.00195159134,-0.06821507708,0.0783241158228,-0.0270637933537,0.00472232697477,-0.0586379510732,0.0647546028388,0.0734135843048,0.0735394181632,0.954150052819,"[49, 52, 75]",3.0,3.0,3.0
9.69978255836,70.0373781875,33.9353182679,7.51868704569,2.0,4.30978542003,8.89474702982,1.163973907,7.0,-0.05092689471,-0.01243559355,0.02217775252,0.0569213957891,-0.00492170822025,-0.0210915721505,0.0483333145016,0.0529640153151,0.0258982606672,0.0309988763413,0.954873254803,"[49, 52, 75, 221, 234]",3.0,3.0,5.0
9.88459716271,69.9394601281,33.534319097,7.46815131233,3.0,4.25885852532,8.88231143627,1.18615165952,7.0,,,,,,,,,,,0.948455216666,"[49, 52, 75]",3.0,3.0,3.0
18.028227592,69.6693388245,72.899483582,7.49815451251,0.0,9.25823441491,8.84800603071,2.16338731104,8.0,-0.00608745746,0.00923005334,-0.02782384515,0.0299402301581,-0.00200980599263,0.00473720587315,0.00861950270779,0.0100387382943,0.0293836615097,0.0282957028282,0.952265623089,"[18, 38, 44, 48]",2.0,2.0,4.0
17.7963622157,69.7420164098,72.8515508461,7.46988368206,1.0,9.25214695745,8.85723608405,2.13556346589,8.0,-0.02958893946,-0.03134086919,-0.0556210565,0.0703665925431,-0.0182136684437,-0.0246669508752,-0.0460439304932,0.0553194334653,0.0663904339942,0.063512975917,0.948675227622,"[18, 38, 44, 48]",2.0,2.0,4.0
17.3328534116,69.4952379123,72.6185670708,7.46299171467,2.0,9.22255801799,8.82589521486,2.07994240939,8.0,-0.01631235024,-0.00134683081,-0.02702715966,0.0315970581363,0.0296928362498,-0.0100028094105,-0.000871597678373,0.0313445434353,0.0401739447537,0.0413785944655,0.947799947763,"[18, 38, 44, 48]",2.0,1.0,4.0
17.1076270811,69.4846329453,72.4901233681,7.43789588513,3.0,9.20624566775,8.82454838405,2.05291524973,8.0,,,,,,,,,,,0.944612777412,"[18, 38, 44, 48]",2.0,1.0,4.0
