z,y,x,rad,frame
25.0110325304,72.7876611398,33.7029132577,7.20407678963,0.0
11.5185539052,104.429112311,12.2201946286,7.60215610722,0.0
41.6496331989,24.7818442442,55.2533275331,6.28645957896,0.0
30.3657375395,26.3286151032,24.8636935389,7.4554043556,0.0
46.0462046815,23.1149166642,25.1580243337,6.87613569147,0.0
12.9324875445,81.4657713799,30.8946518653,6.88487364825,0.0
16.0399830834,112.799049562,52.0769979799,7.43725012756,0.0
33.4316845534,82.8062341262,24.078708424,7.92898704234,0.0
26.9361946607,12.0122942752,53.8116140113,7.62574303953,0.0
21.5247434192,80.4016161915,55.6926629405,6.90621722693,0.0
32.2078220056,123.837491824,39.7086109248,7.40962488509,0.0
43.3093266484,15.5202252736,99.252115813,6.78027479163,0.0
36.2697381806,30.419371041,47.6001303584,7.7834302984,0.0
35.98597913,108.730305412,98.2677244403,7.45541306392,0.0
27.0317011424,95.320679456,57.5163894435,7.1097452692,0.0
37.5892704843,101.509999265,84.3774696884,7.55678495758,0.0
37.3714017964,71.4959450302,89.2415451145,7.44660558763,0.0
27.4632159119,94.9610881394,29.9455779716,7.34071948903,0.0
31.409193833,51.7030390691,71.7852941774,7.42889976082,0.0
37.701412366,23.4057766098,75.298149944,7.91070564996,0.0
27.8064745289,58.3445355725,47.9489780033,7.24887780875,0.0
43.4009561108,52.9027463999,80.0390257903,7.33742260215,0.0
35.6328485228,57.8348649988,31.0867678937,7.68556584778,0.0
7.55731176057,5.89878949869,7.48056295452,7.47581356545,0.0
30.531099669,119.877397734,55.4168655016,7.84769576474,0.0
27.2959910489,95.035363331,8.55422729794,6.59026887605,0.0
18.6597284482,123.067861673,39.7411509172,4.81113661931,0.0
27.1354636881,39.6811872179,23.2157519065,7.4989235119,0.0
28.6218388303,36.5041726125,3.36908858319,7.49518481836,0.0
36.0991219827,66.5519337139,72.3792336849,7.11342047272,0.0
40.1012917363,96.132959919,105.654338378,7.41912949542,0.0
29.9742407215,101.604430869,16.8155680856,7.46989593837,0.0
22.3850234269,79.3764921838,12.2653978234,7.23053861409,0.0
28.0152284884,15.4114747817,3.53038048143,7.61761620966,0.0
40.4012601099,110.40699763,121.67415971,7.26820862434,0.0
38.0407906273,44.5383858998,48.0333371333,7.75642717723,0.0
46.7557477714,73.9558818873,122.898006355,7.0647758015,0.0
48.0055073779,65.9127295029,87.5285117707,5.83966073717,0.0
42.5934817822,96.4039605879,120.122032028,6.70087237246,0.0
29.2765682038,4.56036782755,14.5939326809,7.41613320762,0.0
40.4059680704,3.68288300902,90.3127773931,6.84635337727,0.0
46.3104632064,65.1335174188,56.9606199945,7.03576464613,0.0
23.014667386,66.5718872253,122.959539739,6.66519961722,0.0
40.8000205308,82.7719366812,101.254711166,7.53210841915,0.0
43.0667172561,34.9851436432,62.1125821488,7.66393128534,0.0
20.2147507779,52.4087537008,31.7851636146,7.22788966114,0.0
40.9227491383,25.1256188071,1.99043033416,6.83700147099,0.0
39.2725053751,49.2865081668,19.8460403629,7.58201917585,0.0
46.3532460542,87.5709618728,113.529328732,6.89958381328,0.0
11.3152274655,126.236229968,0.526125494761,7.20166134713,0.0
42.6596768591,36.4737574171,12.4300332435,6.45071989019,0.0
