x,y,z,mass,size,ecc,signal,raw_mass,ep,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy
287.9728426,135.2216632,7.530835604,105349,5.012099382,,126,105349,,0,36.57255102,17.17315123,0.903700272,40,,,,,,,,,,
504.0255209,160.3421899,8.36173802,87732,5.035262968,,117,87732,,0,64.01124115,20.36345811,1.003408562,41,-0.12609615,-0.01505285,0.147123399,0.194350512917,-0.128348710242,-0.0185430817768,0.147988734094,0.196768652791,0.195819494043,0.196118667739
503.0326378,160.2236635,9.587766338,90815,5.03763953,,116,90815,,1,63.885145,20.34840526,1.150531961,41,-0.14447646,-0.03495943,0.216652778,0.262743288126,-0.146598910358,-0.0250486385348,0.21902091234,0.264742959968,0.263916328558,0.262787178199
501.8950279,159.9483924,11.39320616,100179,5.03100222,,114,100179,,2,63.74066854,20.31344583,1.367184739,41,0.27171042,0.0463465,-0.357921224,0.451754527358,0.268065549617,0.0473512288681,-0.352192943038,0.445130482996,0.44957172903,0.44967641739
504.03448,160.3133254,8.410529289,88515,5.042253818,,117,88515,,3,64.01237896,20.35979233,1.009263515,41,0.00919202,0.05076356,-0.012664992,0.0531209401076,0.0134019122135,0.0499234486505,-0.0183182135036,0.0548408508513,0.054008816847,0.053219958648
504.1068581,160.7130385,8.304987689,88538,5.035444407,,119,88538,,4,64.02157098,20.41055589,0.996598523,41,,,,,,,,,,
116.0620434,179.8078575,8.115815704,94305,5.047695739,,107,94305,,0,14.73987951,22.8355979,0.973897885,42,0.06236569,0.00100127,0.0011887,0.0623850530053,0.0601131297582,-0.00248896177679,0.00205403509389,0.0601996873764,0.0601332180964,0.0601763766585
116.5531118,179.8157415,8.12572154,92164,5.039174258,,105,92164,,1,14.8022452,22.83659917,0.975086585,42,-0.06164291,0.01100737,-0.091132477,0.110571872154,-0.0637653603583,0.0209181614652,-0.0887643426604,0.111277577205,0.111769010643,0.11317561144
116.0677346,179.9024137,7.36628423,92390,5.051479761,,107,92390,,2,14.74060229,22.84760654,0.883954108,42,0.06800823,-0.00586608,-0.002190893,0.068295902179,0.064363359617,-0.00486135113189,0.00353738796206,0.0646435449957,0.0646672480309,0.0645838587276
116.6032324,179.8562241,7.348026789,90335,5.051894311,,109,90335,,3,14.80861052,22.84174046,0.881763215,42,-0.06388773,-0.0084317,0.094316628,0.114229426711,-0.0596778377865,-0.00927181134955,0.0886634064964,0.107278191913,0.111929282161,0.111995701372
116.1001794,179.7898327,8.133998689,93083,5.043494418,,104,93083,,4,14.74472279,22.83330876,0.976079843,42,,,,,,,,,,
192.2249361,210.9543299,8.365288554,110707,5.06842269,,116,110707,,0,24.41256688,26.7911999,1.003834627,43,0.00590836,0.00751536,-0.005679277,0.0111195117277,0.00365579975819,0.00402512822321,-0.00481394190611,0.00726227001431,0.0101044393731,0.00786261510746
192.2714586,211.013506,8.317961252,111284,5.078013651,,116,111284,,1,24.41847524,26.79871526,0.99815535,43,0.07064724,-0.00876445,0.082198973,0.108740605413,0.0685247896417,0.00114634146524,0.0845671073396,0.108851075043,0.107373802864,0.107021642935
192.8277361,210.9444946,9.002952696,114133,5.078508867,,115,114133,,2,24.48912248,26.78995081,1.080354323,43,-0.00368733,0.00228749,-0.077678786,0.077799889508,-0.00733220038302,0.00329221886811,-0.0719505050379,0.0723980320364,0.0780575913502,0.0780934930834
192.798702,210.9625063,8.355629474,110632,5.055164271,,118,110632,,3,24.48543515,26.7922383,1.002675537,43,-0.06455011,-0.06910026,0.000279258,0.0945602486149,-0.0603402177865,-0.0699403713495,-0.0053739635036,0.0925282492581,0.0917380280997,0.0923724818984
192.2904334,210.4184098,8.357956627,109192,5.079851782,,117,109192,,4,24.42088504,26.72313804,1.002954795,43,,,,,,,,,,
265.9129256,242.7066569,7.502006802,91439,4.957626196,,116,91439,,0,33.77094155,30.82374543,0.900240816,44,-0.07272594,0.01232836,-0.08857878,0.115270339097,-0.0749785002418,0.00883812822321,-0.0877134449061,0.115730447274,0.116704602416,0.116387663759
265.3402804,242.8037306,6.763850304,93229,4.975890343,,117,93229,,1,33.69821561,30.83607379,0.811662036,44,0.07410559,-0.01099022,0.084483654,0.112915504684,0.0719831396417,-0.00107942853476,0.0868517883396,0.112809444181,0.111534053641,0.110996510539
265.923789,242.7171935,7.467880746,89121,4.945672696,,117,89121,,2,33.7723212,30.82508357,0.89614569,44,-0.07847699,0.00207508,-0.075805212,0.109130078726,-0.082121860383,0.00307980886811,-0.0700769310379,0.10800121036,0.111779855413,0.111803020271
265.30586,242.7335326,6.836170648,92987,4.971365629,,116,92987,,3,33.69384421,30.82715865,0.820340478,44,,,,,,,,,,
57.03310626,247.8523894,8.138579243,77508,4.941448993,,97,77508,,0,7.243204495,31.47725346,0.976629509,45,,,,,,,,,,
409.1303212,253.9152676,8.021729666,105662,5.072582713,,116,105662,,0,51.95955079,32.24723898,0.96260756,46,0.0027395,-0.01279646,0.086591374,0.0875746555802,0.000486939758193,-0.0162866917768,0.0874567090939,0.0889616175937,0.087533151149,0.0881110633835
409.1518921,253.814508,8.743324449,104673,5.074764181,,113,104673,,1,51.96229029,32.23444252,1.049198934,46,-0.01063661,-0.09578044,0.094270095,0.134810537311,-0.0127590603583,-0.0858696485348,0.0966382293396,0.129905109717,0.134994581814,0.128153193374
409.0681392,253.0603314,9.528908575,101821,5.067695647,,114,101821,,2,51.95165368,32.13866208,1.143469029,46,0.0789853,0.19467228,-0.108436339,0.236419994569,0.075340429617,0.195677008868,-0.102708058038,0.23348365536,0.235227372028,0.236059551279
409.6900707,254.5931839,8.625272417,101407,5.080009119,,117,101407,,3,52.03063898,32.33333436,1.03503269,46,-0.06238631,-0.08315342,-0.154372666,0.186111426143,-0.0581764177865,-0.0839935313495,-0.160025887504,0.189862301593,0.184742812721,0.185122470011
409.1988399,253.9384326,7.338833532,103269,5.075392438,,116,103269,,4,51.96825267,32.25018094,0.880660024,46,,,,,,,,,,
369.9346327,257.7812293,8.235525189,113283,5.053946594,,122,113283,,0,46.98169836,32.73821612,0.988263023,47,-0.00189103,0.01101939,0.000796758,0.0112088257076,-0.00414359024181,0.00752915822321,0.00166209309389,0.00875329178623,0.0117996236963,0.00863089722756
369.9197428,257.8679961,8.242164843,114133,5.059284226,,122,114133,,1,46.97980733,32.74923551,0.989059781,47,-0.00226557,-0.02102969,0.102458547,0.104618996947,-0.00438802035829,-0.0111188985348,0.10482668134,0.105506008113,0.104686467308,0.103153470522
