z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,rad_um,neighbors,contacts_0pt03um,contacts_30nm,contacts_100nm,contacts_50nm
17.6559316941,121.678335174,2.34153827838,7.54537834206,2.0,0.297375361354,15.4531485671,2.1187118033,2.0,0.00162101643,0.0040999863,0.01245399541,0.01321134299,-0.00692822195932,-0.00526139635418,0.0167791151942,0.0189002978234,0.0148294352168,0.0151915948072,0.958263049442,"[106, 135, 227]",1.0,1.0,3.0,3.0
17.7597149893,121.710618531,2.35430218728,7.57604630831,3.0,0.298996377784,15.4572485534,2.13116579871,2.0,,,,,,,,,,,0.962157881155,"[106, 135, 227]",1.0,1.0,3.0,3.0
3.72565666199,6.87385355059,117.397567615,7.81738859366,0.0,14.9094910871,0.872979400925,0.447078799439,3.0,0.1906635825,-0.096069971859,0.012365998717,0.21385733354,0.199061384305,-0.0541664869636,0.0458066421547,0.211323665255,0.221377036159,0.206669690462,0.992808351395,[],0.0,0.0,0.0,0.0
3.8287066513,6.11739707926,118.898855666,7.73764198118,1.0,15.1001546696,0.776909429066,0.459444798156,3.0,-0.2467546479,0.250678294634,-0.030345401948,0.353055671361,-0.248013364056,0.252973008792,-0.0204721628539,0.354859241643,0.353936547379,0.355565486721,0.98268053161,[],0.0,0.0,0.0,0.0
3.57582830174,8.09124191886,116.955905682,7.70192770921,2.0,14.8534000217,1.0275877237,0.429099396208,3.0,-0.0199994742,-0.02305139255,-0.079767548742,0.0854061326784,-0.0285487125893,-0.0324127752042,-0.0754424289578,0.0869320255947,0.0878023776518,0.0907109630599,0.97814481907,"[16, 245]",1.0,1.0,2.0,2.0
2.91109872889,7.90973489092,116.798429508,7.68811070971,3.0,14.8334005475,1.00453633115,0.349331847466,3.0,,,,,,,,,,,0.976390060133,"[16, 245]",1.0,1.0,2.0,2.0
11.7707390514,65.5452677945,95.6128665082,7.5489123044,0.0,12.1428340465,8.3242490099,1.41248868617,4.0,0.0213617244,-0.06453406839,-0.03698273382,0.0773866387247,0.0297595262049,-0.0226305834946,-0.0035420903823,0.0375542156558,0.0801124084253,0.0525879768583,0.958711862659,"[11, 14]",2.0,2.0,2.0,2.0
11.4625496029,65.0371255237,95.7810690624,7.56302994109,1.0,12.1641957709,8.25971494151,1.37550595235,4.0,0.0252425206,0.03249701339,0.04012470302,0.0574737550361,0.0239838044438,0.0347917275477,0.0499979421141,0.0654635883296,0.0569321574096,0.0582724546745,0.960504802518,"[11, 14]",2.0,2.0,2.0,2.0
11.7969221281,65.2930075189,95.9798290668,7.53998361142,2.0,12.1894382915,8.2922119549,1.41563065537,4.0,0.005301033,-0.02475259949,-0.01963842641,0.0320384132603,-0.00324820538932,-0.0341139821442,-0.0153133066258,0.037534144133,0.0317633406874,0.0394966126123,0.95757791865,"[11, 14]",2.0,2.0,2.0,2.0
11.6332685747,65.0981051607,96.0215694842,7.57006973493,3.0,12.1947393245,8.26745935541,1.39599222896,4.0,,,,,,,,,,,0.961398856336,"[11, 14]",2.0,2.0,2.0,2.0
29.5256675209,18.1897363213,95.8866903856,7.25938492918,0.0,12.177609679,2.3100965128,3.54308010251,5.0,0.03259827,-0.12985048908,-0.06544311158,0.149018782623,0.0409960718049,-0.0879470041846,-0.0320024681423,0.102173927279,0.151078219049,0.117039114409,0.921941886006,"[86, 151]",2.0,2.0,2.0,2.0
28.9803082578,17.1672915254,96.1433696768,7.2639447835,1.0,12.210207949,2.18024602372,3.47763699093,5.0,-0.0465401834,-0.04810708257,-0.02959423115,0.0731853713638,-0.0477988995562,-0.0458123684123,-0.0197209920559,0.06908274333,0.0739921935716,0.0725212135564,0.922520987505,"[86, 151]",2.0,2.0,2.0,2.0
28.7336896648,16.7884955996,95.7769115404,7.2552629819,2.0,12.1636677656,2.13213894115,3.44804275978,5.0,-0.0178652042,0.00440192832,-0.01298401551,0.0225194838486,-0.0264144425893,-0.00495945433418,-0.0086588957258,0.0282364204493,0.0297604504167,0.0298480087001,0.921418398701,"[78, 86, 151]",2.0,2.0,3.0,2.0
28.6254895356,16.8231564526,95.6362406412,7.27992910464,3.0,12.1458025614,2.13654086947,3.43505874427,5.0,,,,,,,,,,,0.924550996289,"[78, 86, 151]",3.0,3.0,3.0,3.0
4.15371828262,118.240489308,71.2064584379,7.53008662366,0.0,9.04322022161,15.0165421422,0.498446193914,6.0,-0.12970595961,-0.025520739,-0.022175121664,0.134039845189,-0.121308157805,0.0163827458954,0.0112655217737,0.122926707814,0.125931383261,0.124401766603,0.956321001205,"[225, 231]",2.0,2.0,2.0,2.0
3.96892560208,118.039538608,70.1851516693,7.51629898769,1.0,8.913514262,14.9910214032,0.47627107225,6.0,0.09613895864,-0.0640860002,-0.05634249803,0.128546458039,0.0948802424838,-0.0617912860423,-0.0464692589359,0.122392056403,0.127607809007,0.126470947371,0.954569971437,"[225, 231]",2.0,2.0,2.0,2.0
3.49940478516,117.534924433,70.9421513436,7.60896811407,2.0,9.00965322064,14.926935403,0.41992857422,6.0,-0.01112238609,0.0896651908,0.057936622782,0.107332223367,-0.0196716244793,0.0803038081458,0.0622617425662,0.103499753622,0.108551699711,0.100957053601,0.966338950487,[225],1.0,1.0,1.0,1.0
3.98220997502,118.240949558,70.8545735004,7.57199138163,3.0,8.99853083455,15.0166005938,0.477865197002,6.0,,,,,,,,,,,0.961642905467,"[23, 225]",1.0,1.0,2.0,1.0
