z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um,rad_um,neighbors,contacts_0pt1um,contacts_0pt5um,contacts_0pt03um,contacts_0pt05um,contacts_30nm,contacts_50nm,contacts_100nm
2.34468887248,84.066335104,47.6053585495,7.42814172509,2.0,6.04588053578,10.6764245582,0.281362664698,15.0,-0.00852674775,-0.0160272629,0.006451242895,0.0192664765369,-0.0488786225246,-0.00591793931139,0.0275666527871,0.0564274941095,0.0518421781068,0.0496564223488,5.0,2.0,0.943373999086,"[23, 243]",2.0,1.0,1.0,1.0,1.0,1.0,2.0
2.39844922994,83.9401361839,47.5382188034,7.39696518848,3.0,6.03735378803,10.6603972953,0.287813907593,15.0,,,,,,,,,,,5.0,2.0,0.939414578937,[23],1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.5321698831,62.3872892007,61.7941508737,7.62048029007,0.0,7.84785716096,7.92318572849,1.86386038597,16.0,-0.22896704489,0.10244118127,0.02481920236,0.252063674637,-0.195473538612,0.0849649149204,0.0245196106981,0.214546387463,0.22208127504,0.214580832953,5.0,3.0,0.967800996839,"[32, 54]",2.0,1.0,0.0,1.0,0.0,1.0,2.0
15.7389965695,63.1939126752,59.9912607565,7.66579734065,1.0,7.61889011607,8.02562690976,1.88867958833,16.0,0.07578031004,-0.16601198917,0.10594308277,0.211013205096,0.0759836752302,-0.145265956314,0.107340337733,0.195953221637,0.211086324134,0.195191326017,4.0,3.0,0.973556262263,"[32, 54, 105]",3.0,2.0,2.0,2.0,2.0,2.0,3.0
16.6218555925,61.8867316582,60.5879561111,7.65488606202,2.0,7.69467042611,7.85961492059,1.9946226711,16.0,0.13995983784,-0.0163094504,-0.07684952917,0.160501104402,0.0996079630654,-0.00620012681139,-0.0557341192779,0.114308704525,0.126860532129,0.125960462099,4.0,3.0,0.972170529877,"[32, 54, 105]",3.0,2.0,2.0,2.0,2.0,2.0,3.0
15.9814428494,61.7583107889,61.6900020784,7.65679889209,3.0,7.83463026395,7.84330547019,1.91777314193,16.0,,,,,,,,,,,5.0,3.0,0.972413459295,"[32, 54]",2.0,2.0,2.0,2.0,2.0,2.0,2.0
8.06417115087,29.9679825203,25.5110481362,7.39442903882,0.0,3.2399031133,3.80593378008,0.967700538105,17.0,-0.15236840718,-0.01558082149,-0.047641063241,0.16040126063,-0.118874900902,-0.0330570878396,-0.0479406549029,0.132371898503,0.129010367682,0.132263691267,7.0,6.0,0.93909248793,"[28, 45, 102, 157, 230, 249]",6.0,4.0,3.0,4.0,3.0,4.0,6.0
7.66716229054,29.8452988866,24.3112968986,7.43517293217,1.0,3.08753470612,3.79035295859,0.920059474864,17.0,0.10708886559,0.00123167146,-0.015321706376,0.108186398564,0.10729223078,0.0219777043158,-0.0139244514133,0.110401687577,0.108387704499,0.110586603886,7.0,6.0,0.944266962386,"[28, 102, 157, 230, 249]",5.0,4.0,3.0,4.0,3.0,4.0,5.0
7.53948140406,29.854997087,25.1545163126,7.48073171495,2.0,3.19462357171,3.79158463005,0.904737768488,17.0,0.05478748491,0.00573598059,-0.061964814695,0.0829108451065,0.0144356101354,0.0158453041786,-0.0408494048029,0.0461317068538,0.0638821303143,0.065567513028,7.0,6.0,0.950052927799,"[28, 102, 157, 230, 249]",5.0,3.0,3.0,3.0,3.0,3.0,5.0
7.02310794827,29.9001622885,25.5859138316,7.4246668738,3.0,3.24941105662,3.79732061064,0.842772953793,17.0,,,,,,,,,,,7.0,6.0,0.942932692973,"[22, 102, 157, 230, 249]",5.0,4.0,3.0,4.0,3.0,4.0,5.0
