z,y,x,rad,frame,xum,yum,zum,particle,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um,contacts_2pt1um,rad_um,neighbors,contacts,contacts_0pt2um
4.98506797737,9.38633878197,21.1963084579,7.47935321868,2.0,2.69193117416,1.19206502531,0.598208157284,8.0,-0.05669993182,0.02655154688,0.042881288977,0.0758859134125,-0.0170082248495,0.0456097125136,0.0709772370751,0.0860656364115,0.0532265845098,0.0648716465988,5.0,3.0,0.934919152335,"[5, 83, 200]",none,3.0
5.34241205218,9.59540608027,20.7498523019,7.47767310616,3.0,2.63523124234,1.21861657219,0.641089446261,8.0,,,,,,,,,,,5.0,3.0,0.93470913827,"[5, 83]",none,2.0
1.51810836976,53.1331120504,6.72318321455,7.63332735185,0.0,0.853844268248,6.74790523041,0.182173004371,9.0,-0.122520804193,0.06217946289,-0.031323435388,0.140921221503,-0.0990066031483,0.0721445566606,-0.0132543256107,0.123218593037,0.12103615442,0.12644485805,3.0,2.0,0.954165918981,[63],none,1.0
1.25707974152,53.6227141205,5.75845247287,7.55050601651,1.0,0.731323464055,6.8100846933,0.150849568983,9.0,0.070290191086,0.07587489961,-0.118020541678,0.156928517522,0.120988598777,0.0494764423298,-0.104816376701,0.167548894967,0.18526761639,0.176110782287,2.0,2.0,0.943813252064,[63],none,1.0
0.273575227539,54.2201542749,6.31191854442,7.4291756143,2.0,0.801613655141,6.88595959291,0.0328290273047,9.0,-0.088347447655,-0.14576699879,0.0690737264873,0.183914298341,-0.0486557406845,-0.126708833156,0.0971696745854,0.16692649628,0.168483170461,0.152294744467,3.0,2.0,0.928646951787,[63],none,1.0
0.849189614932,53.0723826309,5.61626935029,7.51560840092,3.0,0.713266207486,6.74019259412,0.101902753792,9.0,,,,,,,,,,,2.0,2.0,0.939451050115,[63],none,1.0
24.8373047387,50.6117371579,107.158458087,7.49379739765,0.0,13.6091241771,6.42769061905,2.98047656864,10.0,-0.0147787589,-0.01236194925,-0.00206756391,0.0193779339561,0.00873544214473,-0.0023968554794,0.0160015458673,0.0183875592669,0.0152774526426,0.00929126935219,5.0,3.0,0.936724674706,"[2, 18, 143]",none,3.0
24.8200750394,50.5143989748,107.042089907,7.49560667068,1.0,13.5943454182,6.4153286698,2.97840900473,10.0,-0.0525236238,-0.01998738428,0.01342497622,0.057779378449,-0.00182521610878,-0.0463858415602,0.0266291411965,0.0535171829599,0.024146571821,0.0483239867726,6.0,3.0,0.936950833835,"[2, 18, 143]",none,3.0
24.9319498413,50.3570179962,106.628518067,7.48793856208,2.0,13.5418217944,6.39534128552,2.99183398095,10.0,-0.0747842814,0.0363246409,-0.05820601837,0.101489451942,-0.0350925744295,0.0553828065336,-0.0301100702719,0.0721481834242,0.0770643165875,0.0876737395924,6.0,3.0,0.93599232026,"[2, 18, 143]",none,3.0
24.4468996882,50.6430387907,106.039665456,7.46724682684,3.0,13.467037513,6.43166592642,2.93362796258,10.0,,,,,,,,,,,6.0,3.0,0.933405853355,"[2, 18, 143]",none,3.0
