,x,y,z,mass,size_x,size_y,size_z,ecc,signal,raw_mass,ep_x,ep_y,ep_z,frame
736,130.1587510066342,19.529422479579708,52.31463550255014,104308.0,4.555132604064397,4.738693824108659,7.181114341837976,,104.0,104308.0,,,,0
737,44.88991569962259,30.63396352862333,52.168336213890164,113404.0,5.406935141177042,4.52711020601401,6.679397594651381,,104.0,113404.0,,,,0
738,435.0626901217862,58.125629228687416,53.014148849797024,92375.0,5.114916497002916,4.506590573004478,6.395940018048873,,100.0,92375.0,,,,0
739,217.57745249038894,141.23605030500747,51.51264295329687,82457.0,4.667100350200183,5.004292516914191,6.710354044410507,,93.0,82457.0,,,,0
740,267.9644261327237,159.4020274089613,52.50161413910487,79609.0,4.9572251129041724,4.526565349967627,6.350117796592403,,95.0,79609.0,,,,0
741,165.79833179655125,192.98238529776478,52.09258847095482,94353.0,5.14919996483848,4.406522779537361,6.3981144483236285,,102.0,94353.0,,,,0
742,436.05664178762765,199.90967229879269,51.96901567532091,131034.0,5.155354704411965,4.755484661914658,6.87331478665261,,108.0,131034.0,,,,0
743,27.909411805220746,206.18103863902473,53.381577587988154,116152.0,4.686506282850468,4.422233662000847,7.267202860320123,,130.0,116152.0,,,,0
744,482.70308376832253,210.07385827378315,53.35212936032514,103834.0,5.022999282739607,4.539408248586714,6.85293227877371,,103.0,103834.0,,,,0
745,374.98256746847113,211.148441527325,52.416296984702065,137731.0,5.402890691857257,4.474960771166438,6.864635875855554,,118.0,137731.0,,,,0
746,357.1699434484418,237.1283600048129,53.212545622267676,124665.0,5.296607296271875,4.753259778556201,6.7095633900853295,,106.0,124665.0,,,,0
747,390.9525137290239,240.83369604026046,51.75453525341313,117634.0,5.015803781042502,4.972661886520376,6.404363454841554,,109.0,117634.0,,,,0
748,10.875968011337754,242.95848939616337,55.30561320038467,158056.0,4.823403617032431,4.971779066195436,7.0315946900546855,,130.0,158056.0,,,,0
749,287.1751567792347,11.212448438914786,53.465568932559776,149095.0,5.146230163808258,5.001007309914678,6.8494799877425,,115.0,149095.0,,,,0
750,217.2339313833087,11.81943185252342,54.16883777894419,125742.0,4.880953846815258,4.908756137338771,6.609865223341915,,120.0,125742.0,,,,0
751,148.44130577537368,22.97846338775919,55.25662515164669,89847.0,4.498926751413956,4.732431338558376,6.8124540023063895,,100.0,89847.0,,,,0
752,175.56783601905056,28.94067070343781,52.04390339847427,71179.0,4.517194842161641,4.709112446702105,6.1279195969482005,,95.0,71179.0,,,,0
753,329.28094511282694,32.81991829771952,52.913509307475906,133656.0,4.914852289669463,4.982477376210877,7.050305986897908,,107.0,133656.0,,,,0
754,421.40540742029276,49.007198296927676,52.83622839061322,120723.0,4.795554297508514,4.648834770139893,7.174873876158995,,112.0,120723.0,,,,0
755,406.87190198694094,57.13431159165906,52.94260338411851,85458.0,4.47767049971086,4.665373454646396,6.904009297480362,,97.0,85458.0,,,,0
756,404.1433750515232,72.93123992955371,52.760941656986546,106748.0,5.011358739526899,4.708026263481923,6.741513110996883,,99.0,106748.0,,,,0
757,459.1339203660984,88.21925579999625,52.73859224666629,106638.0,4.958997467484575,4.5576540738206495,6.804605064749235,,106.0,106638.0,,,,0
758,174.0307580272702,93.16603585561933,53.410231595488824,104363.0,4.836054856841996,4.9167499056819945,6.263176465280254,,105.0,104363.0,,,,0
759,429.18284850250393,103.9497551569631,53.015259339409326,72087.0,4.623288561202566,4.934436344039341,6.4460033553795,,82.0,72087.0,,,,0
760,342.37058707142654,133.30903454968578,53.219244938145984,106137.0,4.666136661160472,5.019670738354274,6.802080178233975,,104.0,106137.0,,,,0
761,192.31303957430208,139.8995444208109,52.84905535397546,135871.0,5.039540134580937,4.640519224886239,7.053945392047101,,114.0,135871.0,,,,0
762,122.00401455998309,152.4910632821429,54.187829544472294,104121.0,5.122871507991829,4.397918711897259,6.56743577994167,,110.0,104121.0,,,,0
763,208.0705861896914,151.4653683908133,51.518461119762925,132278.0,5.28209143023665,4.627001008199696,6.820959739460312,,114.0,132278.0,,,,0
764,426.13306737805624,153.9007644174682,52.93647258457949,122577.0,4.982509362236657,4.689314640556235,7.077870997864037,,109.0,122577.0,,,,0
765,401.86042506013604,169.90553449282822,52.54241197374803,101021.0,4.821046995713986,4.978212496217589,6.377750472686446,,103.0,101021.0,,,,0
766,390.8825718916972,18.76548398070881,53.836465149786875,99942.0,4.8727580883319765,4.504745251762223,7.282018684523586,,97.0,99942.0,,,,0
767,201.15622300215983,20.009935205183584,54.19130669546436,148160.0,5.031358199807803,4.759988645012501,7.255607796211191,,118.0,148160.0,,,,0
768,28.167981780427354,21.10081050304776,54.56394936030544,74645.0,4.812899640267165,4.309285057307958,6.0663555646887,,105.0,74645.0,,,,0
769,265.0582068658331,31.09678343037129,55.27634341891763,125724.0,5.066626813130175,4.7472884008080545,6.774143399950468,,113.0,125724.0,,,,0
770,246.95497413504137,74.91123472336724,54.360197860138975,110381.0,4.7825283802733525,4.670176346245089,7.137495991731918,,106.0,110381.0,,,,0
771,277.97783642714177,87.77940426199913,54.51672815038656,101924.0,4.837134987486997,4.803462361396469,6.5569679528831,,104.0,101924.0,,,,0
772,274.0834069048836,103.98842061242507,53.59947028483806,107605.0,4.696224386534939,4.7337689397641185,6.83139324341719,,109.0,107605.0,,,,0
773,248.4669557855452,126.19695215716088,55.14968813172763,115754.0,5.0260444412858645,4.820396778072607,6.503330149946551,,114.0,115754.0,,,,0
774,144.81623377662555,137.95574279450125,54.42426424696337,124974.0,4.7716143816523875,5.009580815516306,6.929048595341413,,110.0,124974.0,,,,0
775,66.85030970406056,149.52740307409957,55.23793301215875,87180.0,5.120670497648924,4.456461396241103,6.243667128812712,,105.0,87180.0,,,,0
776,232.94932038834952,155.27493296347666,52.901756819232546,108150.0,5.198044548576658,4.509561424806786,6.373765143789272,,113.0,108150.0,,,,0
777,482.0977704973506,155.3014865914527,54.53180444362411,130029.0,4.9185015244168975,5.281390478713354,6.6948132649233,,104.0,130029.0,,,,0
778,345.90670579302054,184.18201664188314,54.28042047647673,126428.0,4.7608307282070585,4.992618020121916,6.8840567924719585,,112.0,126428.0,,,,0
779,144.8056732239186,192.08292308417572,53.78817674274516,148487.0,5.027521286574642,4.769125366620684,7.23869799839781,,115.0,148487.0,,,,0
780,41.22474878924653,201.98589925213324,53.94639739070273,151765.0,5.063283504909197,4.8908785690253245,6.772068366420766,,127.0,151765.0,,,,0
781,37.04157961411677,223.87912131643353,54.26760451280418,150771.0,5.252645612481215,4.556331069460746,6.79854163293565,,130.0,150771.0,,,,0
782,418.88348721033634,224.98396061097452,54.1503177799864,152936.0,5.047395935838313,5.077572776950195,6.915392346434228,,116.0,152936.0,,,,0
783,420.65485353511906,19.765758321340698,54.50360707488046,107705.0,4.8848986486968675,4.976881701355892,6.504439210736957,,100.0,107705.0,,,,0
784,490.25412566319835,19.84142914492172,55.31675111482418,92167.0,4.596770180568274,5.197599245834258,6.57712423937461,,96.0,92167.0,,,,0
785,240.32502668438366,26.232361077831268,55.066293448348475,137721.0,5.224343770749653,4.799713451993948,6.6389578900895305,,118.0,137721.0,,,,0
786,462.0680156224032,49.86090105811312,55.08854080106365,144408.0,5.078795775395008,4.917672306495907,6.851298721157046,,113.0,144408.0,,,,0
787,449.8476435736595,73.65802455172654,56.45246691781001,114941.0,5.138121478117067,4.872736817169833,6.458719881704995,,105.0,114941.0,,,,0
788,505.0767308059371,87.95119113623763,55.249216058752424,110021.0,5.026600513118286,4.444849020506651,7.0383990171608435,,112.0,110021.0,,,,0
789,36.07030491209018,95.83506297845655,54.665116741486244,130759.0,5.2324787953797465,4.58415249222744,6.9067792604234794,,114.0,130759.0,,,,0
790,196.95754149814957,122.95855650463,55.03251143834226,128078.0,4.946073123678448,5.068515093254675,6.649051640998721,,112.0,128078.0,,,,0
791,252.2168164386698,151.40842920649456,54.977448342968344,104826.0,5.096745895978936,4.521686941403844,6.724825967985836,,106.0,104826.0,,,,0
792,168.15929782082324,167.19665052461662,54.85816787732042,123900.0,4.9680260962456915,4.608973771370542,6.954091937350519,,110.0,123900.0,,,,0
793,179.85797863388285,177.38162481867653,55.05394423651795,124777.0,5.018834989227479,4.803987059968361,6.677284301881739,,113.0,124777.0,,,,0
794,475.26040855618004,192.9764860770962,53.95952660711505,70639.0,5.065989599912784,4.029764751156019,6.557803358762625,,92.0,70639.0,,,,0
795,348.29176949066374,201.54127964243727,54.859866337629875,94417.0,5.067796085737068,4.681240127328635,6.339006806859783,,106.0,94417.0,,,,0
796,482.96781257397953,51.35376576820319,55.84681592208056,118276.0,4.904161997428361,4.443856538575378,7.541279413620167,,109.0,118276.0,,,,0
