z,y,x,rad,frame,xum,yum,zum,particle,drad,dxum,dyum,dzum,dr,dxum_adj,dyum_adj,dzum_adj,dr_adj_full,dr_adj_x,dr_adj_xy,contacts_2pt5um
10.405223737,114.303450152,89.1443460953,7.87016933698,0.0,11.3213319541,14.5165381693,1.24862684844,9.0,-0.02280601051,-0.0290120546,0.0159517372,-0.00069342624,0.0331155261435,-0.00104187502664,-0.0128670396843,0.00827568486166,0.0153340527499,0.0160007582076,0.0129277629062,6.0
10.399445185,114.429054382,88.9159047205,7.84736332647,1.0,11.2923198995,14.5324899065,1.2479334222,9.0,0.03470646367,0.1402850113,0.0349213825,0.01170679132,0.145039430205,0.0274625564257,0.00791166800076,0.012330050427,0.0311258194996,0.0459428332186,0.0308842267023,6.0
10.4970017793,114.704025897,90.0205111089,7.88206979014,2.0,11.4326049108,14.567411289,1.25964021352,9.0,-0.00948757508,0.2341298812,0.0364374488,-0.0078110194,0.237076993759,0.0689995015989,0.0197205007684,-0.00594630598806,0.072008249016,0.0784195825034,0.0721861579218,6.0
10.431909951,114.990934944,91.8640534806,7.87258221506,3.0,11.666734792,14.6038487378,1.25182919412,9.0,,,,,,,,,,,,6.0
3.61152578283,97.3795533165,53.2610539472,8.4308666992,0.0,6.76415385129,12.3672032712,0.43338309394,10.0,0.0682136065,-0.03614890085,-0.0449798962,-0.075630931268,0.0951313400478,-0.00817872127664,-0.0737986730843,-0.0666618201663,0.0997844371564,0.0883748850542,0.10598666612,5.0
2.98126802227,97.0253809058,52.9764169326,8.4990803057,1.0,6.72800495044,12.322223375,0.357752162672,10.0,0.02990208546,0.15380719636,0.0228048783,-0.017343648435,0.156452926682,0.0409847414857,-0.00420483619924,-0.016720389328,0.0444634805362,0.0500061361231,0.0447015863605,5.0
2.83673761864,97.2049468761,54.1874972189,8.52898239116,2.0,6.8818121468,12.3450282533,0.340408514237,10.0,0.04783068131,0.18809443329,0.1214150208,-0.037958418494,0.227072597742,0.0229640536889,0.104698072768,-0.0360937050821,0.113100794647,0.129266378352,0.113709611457,5.0
2.52041746452,98.1609706625,55.6685557487,8.57681307247,3.0,7.06990658009,12.4664432741,0.302450095743,10.0,,,,,,,,,,,,4.0
1.40372082883,72.8670964658,38.9182110328,7.96957963636,0.0,4.94261280117,9.25412125116,0.16844649946,11.0,-0.05497030466,0.07416687867,0.09328947744,0.094040627139,0.151813346071,0.102137058243,0.0644707005557,0.103009738241,0.158743365434,0.16726788341,0.15307543712,4.0
2.18739272166,73.6016592803,39.5022022035,7.9146093317,1.0,5.01677967984,9.3474107286,0.262487126599,11.0,-0.11707421255,0.17511052428,0.02683088466,0.113014860982,0.210133174173,0.0622880694057,-0.000178829839243,0.113638120089,0.129589574842,0.131803106051,0.129043381749,7.0
