z,y,x,frame,xum,yum,zum,particle
8.63941082992,41.7832279965,80.9512682596,3.0,10.280811069,5.30646995555,1.03672929959,7.0
6.08002710362,31.2360304139,23.9357433363,0.0,3.03983940371,3.96697586257,0.729603252435,8.0
5.53211912475,31.4752151977,24.1420804095,1.0,3.06604421201,3.99735233011,0.66385429497,8.0
5.75418652818,31.564514413,24.4919743797,2.0,3.11048074622,4.00869333045,0.690502383381,8.0
5.93442678374,31.4686604525,26.0973702343,3.0,3.31436601976,3.99651987746,0.712131214049,8.0
10.405223737,114.303450152,89.1443460953,0.0,11.3213319541,14.5165381693,1.24862684844,9.0
15.8688753532,112.160936626,86.8509112407,1.0,11.0300657276,14.2444389515,1.90426504239,9.0
15.4600260005,112.425287877,88.0580573426,2.0,11.1833732825,14.2780115604,1.85520312006,9.0
19.9314169322,110.338207414,83.7815454083,3.0,10.6402562669,14.0129523415,2.39177003186,9.0
3.61152578283,97.3795533165,53.2610539472,0.0,6.76415385129,12.3672032712,0.43338309394,10.0
2.19063414721,96.8204250273,53.0124464769,1.0,6.73258070257,12.2961939785,0.262876097665,10.0
2.10576797115,96.9588022969,54.1747259492,2.0,6.88019019554,12.3137678917,0.252692156538,10.0
1.96437027354,97.9890225409,55.641303061,3.0,7.06644548874,12.4446058627,0.235724432825,10.0
1.40372082883,72.8670964658,38.9182110328,0.0,4.94261280117,9.25412125116,0.16844649946,11.0
1.57296101599,73.5812575818,39.572016924,1.0,5.02564614934,9.34481971289,0.188755321918,11.0
2.41925124724,73.772923491,40.8586073429,2.0,5.18904313254,9.36916128336,0.290310149669,11.0
1.57819311859,74.6119055491,42.156806485,3.0,5.3539144236,9.47571200474,0.189383174231,11.0
22.2432565341,82.9274939807,55.1687897722,0.0,7.00643630107,10.5317917355,2.66919078409,12.0
17.2642149065,80.5276301943,55.0939912759,1.0,6.99693689203,10.2270090347,2.07170578878,12.0
17.4752921525,80.8673522311,56.0948220265,2.0,7.12404239737,10.2701537333,2.0970350583,12.0
17.0490773754,81.4129913413,56.9488740044,3.0,7.23250699855,10.3394499003,2.04588928505,12.0
11.5800658902,77.6985312408,55.5728704074,0.0,7.05775454175,9.86771346758,1.38960790682,13.0
4.72811816331,2.94001109905,105.673402062,0.0,13.4205220619,0.37338140958,0.567374179598,14.0
4.20622997723,3.08589940784,104.592991693,1.0,13.283309945,0.391909224796,0.504747597267,14.0
3.47824711924,3.15645471651,106.628214985,2.0,13.5417833031,0.400869748996,0.417389654309,14.0
2.97259589616,2.48246532433,108.664461578,3.0,13.8003866204,0.315273096189,0.356711507539,14.0
25.9312012801,27.8935762359,33.7819767034,0.0,4.29031104133,3.54248418196,3.11174415362,15.0
