z,y,x,rad,frame
20.5415020459,4.67373895009,17.3983292449,7.91212851839,0.0
32.558703608,62.0353587602,81.05008719,7.1307211567,0.0
36.3117407321,89.0425588665,120.597793649,7.54328419645,0.0
31.0246758163,109.847344408,23.7724247264,7.43665490958,0.0
7.1686009963,9.86951355114,22.6816219828,7.16398103757,0.0
24.3270011955,111.994715055,117.251764119,7.01181093925,0.0
30.7594941142,65.3402489724,53.8237350697,7.46549439741,0.0
36.1094984771,64.1905894675,94.1941355018,7.34639589717,0.0
25.4190527528,68.1629781373,110.72008207,7.37929921716,0.0
39.0862200689,19.565021453,40.6348574989,7.56392409036,0.0
16.66923778,110.310396758,50.975755563,7.81842833493,0.0
22.6445912416,83.2242845157,111.977261277,7.3681114321,0.0
18.4619144269,101.632171342,80.9095509391,6.94604209491,0.0
37.9393621147,33.5315819084,65.2248969429,7.05395431561,0.0
37.3069841622,12.7049285221,118.555989634,7.46106103287,0.0
45.0368752039,109.668623624,72.2554387795,7.6768461924,0.0
31.5015978054,0.978167029412,48.5342759154,7.00938120281,0.0
50.1954473044,103.927861498,96.6178811728,7.56354381558,0.0
40.534378672,117.66800297,91.0736360111,7.42521642208,0.0
36.693498054,83.4562066204,11.0581848071,7.60874249356,0.0
38.9567496737,85.4198261275,62.5876599855,7.55953926105,0.0
49.6039019292,46.8902105262,51.2539135749,7.66238268684,0.0
25.2278802013,44.2083506396,7.62997627368,7.6234728025,0.0
35.8241703884,49.6021394462,89.7020581123,7.44106346731,0.0
36.5943398794,33.2494114806,120.564185985,7.52414218298,0.0
38.0881200714,117.868087502,11.972025964,7.49513600402,0.0
48.3356052888,91.4060342423,52.5709427542,7.83281394909,0.0
43.2123430114,37.4945920321,95.9218781047,7.72699451552,0.0
66.7676661859,106.549583042,93.1000275545,7.43959453086,0.0
59.230794649,63.616559512,93.1753629649,7.29327874152,0.0
35.3313457623,15.1723550814,92.3125956809,7.38445240095,0.0
54.1136633834,12.6851417935,1.07397037447,8.10774140554,0.0
42.5703174846,125.870711893,27.1330982284,7.91504034399,0.0
31.3824396743,50.2741344263,123.419578961,7.24026087553,0.0
41.4100427953,0.99945201938,70.3768004922,7.90897105256,0.0
52.4714449908,120.919065368,17.195988395,7.47374080973,0.0
45.8642461823,93.0443741222,87.2303062843,7.26321111331,0.0
59.7067773372,66.2273181915,120.386444674,7.21957557821,0.0
43.1522744429,80.5504591018,86.1012458225,7.23309883253,0.0
69.9178294704,46.6713702029,55.672523521,8.64870717627,0.0
24.7561714732,72.4843329305,9.41811310113,7.90828496072,0.0
54.8604886167,113.659570203,85.7004107076,7.41856005761,0.0
50.7870595408,65.1521149733,82.735449758,7.19607486275,0.0
56.5415887179,52.9249288713,113.072390181,8.00414345403,0.0
38.1482178252,84.3877446797,43.9243619691,7.55742292536,0.0
33.9268687185,55.8386983424,17.3842852036,7.47234397853,0.0
43.5921536999,74.141995248,34.3064296371,7.68035465728,0.0
